,iso,coords,id
1861,PHL,"[10.224109456866314, 123.72886308285071]",8f6844c59909b54
1862,MYS,"[2.760972428497669, 111.94812157316966]",8f699ba0ad331a4
1863,PHL,"[15.488498006427822, 120.99303517122138]",8f6941325102b9a
1864,IDN,"[-6.124451120716707, 106.28057323821403]",8f8c1388d102aec
1865,IND,"[23.102180027854565, 77.53082568812066]",8f3d93b528f6829
1866,IND,"[19.23437053928207, 72.82799163482227]",8f608b442040251
1867,PHL,"[10.179198052977432, 123.6961847548314]",8f6844c5a415060
1868,NGA,"[5.534788277124082, 5.76584685729742]",8f82db2ea0e120b
1869,IDN,"[-8.69713460834041, 115.17878465219394]",8f95a4c33aa3002
1870,TZA,"[-5.88020375125989, 39.345280135887045]",8f7b4ea6dc66b0d
1871,BRA,"[-12.21225138756575, -38.981596788598935]",8f81100168c5330
1872,CHN,"[25.825471335135582, 115.99401357858821]",8f41ae221a0d010
